des_plan|anio_apertura_expediente|abandona|convocatoria_acceso|des_acceso|sexo|municipio|anio_nacimiento_interval|nota_admision_def|expediente|cod_plan
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.16|1|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|D|BADAJOZ|(1990.0, 1995.0]|6.73|5|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Formación Profesional|H|MÉRIDA|(1985.0, 1990.0]|8.1|7|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|D|CORIA|(1990.0, 1995.0]|7.17|8|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|D|ALMOHARÍN|(1990.0, 1995.0]|7.64|12|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|BADAJOZ|(1990.0, 1995.0]|6.95|13|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.65|17|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Formación Profesional|H|CASARICHE|(1985.0, 1990.0]|6.44|26|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|7.22|28|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|8.23|36|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.67|37|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|D|CASAR DE CÁCERES|(1990.0, 1995.0]|7.23|39|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|D|VALLE DE LA SERENA|(1985.0, 1990.0]|6.63|40|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|D|CÁCERES|(1990.0, 1995.0]|7.02|41|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|MÉRIDA|(1990.0, 1995.0]|7.51|50|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|GARLITOS|(1990.0, 1995.0]|9.12|52|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|SEVILLA|(1990.0, 1995.0]|7.48|55|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Formación Profesional|H|CACABELOS|(1985.0, 1990.0]|5.9|56|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.17|62|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|QUINTANA DE LA SERENA|(1990.0, 1995.0]|6.17|63|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.33|66|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|H|CÁCERES|(1985.0, 1990.0]|6.11|68|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|6.41|71|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|1|JUN|Selectividad|H|PLASENCIA|(1990.0, 1995.0]|6.23|74|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|D|BADAJOZ|(1990.0, 1995.0]|6.21|76|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2009-10|0|JUN|Selectividad|H|CÁCERES|(1985.0, 1990.0]|5.1|83|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|RONDA|(1990.0, 1995.0]|7.3|88|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|D|CÁCERES|(1990.0, 1995.0]|6.842|89|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|PUEBLA DE LA CALZADA|(1990.0, 1995.0]|6.586|93|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.918|95|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.136|99|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|AZUAGA|(1990.0, 1995.0]|7.044|105|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|8.322|108|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|LOS SANTOS DE MAIMONA|(1990.0, 1995.0]|6.172|109|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|FUENTE DEL MAESTRE|(1990.0, 1995.0]|7.676|110|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|FUENTE DEL MAESTRE|(1990.0, 1995.0]|7.446|111|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|SOLANA DE LOS BARROS|(1990.0, 1995.0]|6.69|116|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|H|CÁCERES|(1990.0, 1995.0]|7.092|117|1623
GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|D|CÁCERES|(1990.0, 1995.0]|6.97|130|1623
