expediente|curso_academico|cod_plan|des_plan|becario
1|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
2|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
3|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
4|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
5|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
6|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
7|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
8|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
9|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
10|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
11|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
12|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
13|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
15|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
16|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
17|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
18|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
19|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
21|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
23|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
24|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
26|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
27|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
28|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
29|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
30|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
31|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
32|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
33|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|S
34|2009-10|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|N
